0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,7
0,0,0,0,0,37.5,0,48,37.5,25,29,0,0,0,0,0,0,0,0,45,0,0,0,20,0,0,0,23,2,0,0,0,0,0,7,0,5,25,0,99,0,0
0,0,0,0,0,9.5,0,1,9.5,0.5,0,0,0,0,0,0,0,0,0,1,0,0,8,65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0
0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,4.5,0,0,0,30,38,18,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,0,0,1.5,0,3,12.5,0,0.5,6.6,0,7.5,1,1,0,1.5,0,0,34,0
10,0,0,6.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,5.5,2.2,0,5.5,14.1,0,7,0,0,0,8,0,0,0,0
0,0,100,0,0,40,0,49,50,50,31,0,0,0,0,0,0,0,0,45,0,16,0,10,10,50,0,1,0,69.5,0,15,0,0,7,0,0,0,0,0,0,0
23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,4,0,0,0,3,0,6,27,0,1,8,0,7,2,0,0,2,0,0,66,0
0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,62.5,50,0,50,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,90,0,0,0,0,0
2.5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2.5,0,0,0,10,0,0,0,0,0,0
0,0,0,15,74,0,5,0,0,0,0,0,3.5,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,20,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,25,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0
0,0,0,0,0,10,0,1,0,18,0,0,0,0,33,0,0,0,0,9,0,9,3,0,0,0,0,43,40,0,42.5,16.9,0,0,1,0,0,60,0,0,0,0
0,0,0,0,0,0,0,0,0,0,30,100,0,0,0,0,0,3,50,0,50,0,0,0,0,5,100,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,3,0,1,3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5
0,0,0,1.5,1,0,0.5,0,0,0,0,0,0,0,3.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0
4.9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,40,0,0,0,0,0,9,0,0,0,0,0,0,0,80,0,0,88
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,2,0.8,0,0,7,0,3,0,0,0,2,0,0,0,0
7,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,27,0,0.5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
0,0,0,0,0.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,0,0,0,0,0,2,0,0,0,0,0,40.2,5,0,98,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,8,0,41,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1.9,0,0.5,0,0,0,0.5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,16,2,0,0,0,0,0,1,1,0,0.5,0,1,0,0
